"""'Workflow""","""'Has job failures""","""'Avg run time""","""'Workflow runs""","""'Jobs"""
"""'dynamic/dependabot/dependabot-updates""",0.00,23146,1,1
"""'.github/workflows/4-merge-your-pull-request.yml""",100.00,3366,1,1
"""'.github/workflows/3-open-a-pull-request.yml""",100.00,1943,1,1
